,title,genres,vote_average,weighted_rating,similarity_%
1,The Matrix,Action Sci-Fi,8.7,8.36,11.8
2,Ant-Man,Action Adventure Comedy Sci-Fi,7.3,7.74,11.8
3,Black Panther,Action Adventure Sci-Fi,7.3,7.69,7.9
4,Iron Man,Action Adventure Sci-Fi,7.9,7.94,7.6
5,Jurassic Park,Adventure Sci-Fi Thriller,8.1,8.03,4.1
6,No Time to Die,Action Adventure Thriller,7.3,7.74,3.8
7,The Avengers,Action Adventure Sci-Fi,8.0,7.99,3.5
8,Guardians of the Galaxy,Action Adventure Comedy Sci-Fi,8.0,7.99,3.3
9,Captain America,Action Adventure Sci-Fi,7.8,7.9,3.3
10,Batman v Superman,Action Adventure Sci-Fi,6.4,7.42,3.3
